order_id,department,add_time,mod_time
20071290,VAC,2015-09-26 20:08:46.589+00,2015-09-26 20:08:46.589+00
20071291,EC,2015-09-26 20:08:46.833+00,2015-09-26 20:08:46.833+00
20071292,PCO,2015-09-26 20:08:47.066+00,2015-09-26 20:08:47.066+00
20071292,PMO,2015-09-26 20:08:47.07+00,2015-09-26 20:08:47.07+00
20071293,PCO,2015-09-26 20:08:47.31+00,2015-09-26 20:08:47.31+00
20071293,PMO,2015-09-26 20:08:47.315+00,2015-09-26 20:08:47.315+00
20071294,PMO,2015-09-26 20:08:47.535+00,2015-09-26 20:08:47.535+00
20071295,ND,2015-09-26 20:08:47.772+00,2015-09-26 20:08:47.772+00
20071296,PMO,2015-09-26 20:08:48.016+00,2015-09-26 20:08:48.016+00
20071297,PCO,2015-09-26 20:08:48.248+00,2015-09-26 20:08:48.248+00
20071298,FAIT,2015-09-26 20:08:48.482+00,2015-09-26 20:08:48.482+00
20071299,FAIT,2015-09-26 20:08:48.728+00,2015-09-26 20:08:48.728+00
20071300,FAIT,2015-09-26 20:08:48.958+00,2015-09-26 20:08:48.958+00
20071301,PMO,2015-09-26 20:08:49.214+00,2015-09-26 20:08:49.214+00
20071302,PMO,2015-09-26 20:08:49.486+00,2015-09-26 20:08:49.486+00
20071303,PMO,2015-09-26 20:08:49.723+00,2015-09-26 20:08:49.723+00
20071304,PMO,2015-09-26 20:08:49.955+00,2015-09-26 20:08:49.955+00
20071305,PMO,2015-09-26 20:08:50.62+00,2015-09-26 20:08:50.62+00
20071306,PMO,2015-09-26 20:08:52.213+00,2015-09-26 20:08:52.213+00
20071307,PMO,2015-09-26 20:08:52.456+00,2015-09-26 20:08:52.456+00
20071308,INDUSTRY,2015-09-26 20:08:52.851+00,2015-09-26 20:08:52.851+00
20071309,DFAIT,2015-09-26 20:08:53.254+00,2015-09-26 20:08:53.254+00
20071310,PMO,2015-09-26 20:08:54.601+00,2015-09-26 20:08:54.601+00
20071311,FAIT,2015-09-26 20:08:54.901+00,2015-09-26 20:08:54.901+00
20071312,FAIT,2015-09-26 20:08:55.299+00,2015-09-26 20:08:55.299+00
20071313,FAIT,2015-09-26 20:08:55.623+00,2015-09-26 20:08:55.623+00
20071314,PMO,2015-09-26 20:08:55.854+00,2015-09-26 20:08:55.854+00
20071315,FAIT,2015-09-26 20:08:56.209+00,2015-09-26 20:08:56.209+00
20071316,JUS,2015-09-26 20:08:56.513+00,2015-09-26 20:08:56.513+00
20071317,PMO,2015-09-26 20:08:56.928+00,2015-09-26 20:08:56.928+00
20071318,PSEP,2015-09-26 20:08:57.195+00,2015-09-26 20:08:57.195+00
20071319,PSEP,2015-09-26 20:08:57.523+00,2015-09-26 20:08:57.523+00
20071320,PSEP,2015-09-26 20:08:57.816+00,2015-09-26 20:08:57.816+00
20071321,PSEP,2015-09-26 20:08:58.075+00,2015-09-26 20:08:58.075+00
20071322,HERITAGE,2015-09-26 20:08:58.383+00,2015-09-26 20:08:58.383+00
20071323,HERITAGE,2015-09-26 20:08:58.778+00,2015-09-26 20:08:58.778+00
20071324,RESOURCES,2015-09-26 20:08:59.006+00,2015-09-26 20:08:59.006+00
20071325,PMO,2015-09-26 20:08:59.251+00,2015-09-26 20:08:59.251+00
20071326,VAC,2015-09-26 20:08:59.521+00,2015-09-26 20:08:59.521+00
20071327,HERITAGE,2015-09-26 20:08:59.799+00,2015-09-26 20:08:59.799+00
20071328,HERITAGE,2015-09-26 20:09:00.058+00,2015-09-26 20:09:00.058+00
20071329,PMO,2015-09-26 20:09:00.305+00,2015-09-26 20:09:00.305+00
20071330,ND,2015-09-26 20:09:00.532+00,2015-09-26 20:09:00.532+00
20071331,PMO,2015-09-26 20:09:01.037+00,2015-09-26 20:09:01.037+00
20071332,PMO,2015-09-26 20:09:01.44+00,2015-09-26 20:09:01.44+00
20071333,PMO,2015-09-26 20:09:02.159+00,2015-09-26 20:09:02.159+00
20071334,TC,2015-09-26 20:09:02.397+00,2015-09-26 20:09:02.397+00
20071335,PMO,2015-09-26 20:09:02.631+00,2015-09-26 20:09:02.631+00
20071336,ND,2015-09-26 20:09:02.856+00,2015-09-26 20:09:02.856+00
20071336,PMO,2015-09-26 20:09:02.861+00,2015-09-26 20:09:02.861+00
20071337,PMO,2015-09-26 20:09:03.119+00,2015-09-26 20:09:03.119+00
20071338,FIN,2015-09-26 20:09:03.366+00,2015-09-26 20:09:03.366+00
20071339,PMO,2015-09-26 20:09:03.598+00,2015-09-26 20:09:03.598+00
20071340,PMO,2015-09-26 20:09:03.847+00,2015-09-26 20:09:03.847+00
20071341,PMO,2015-09-26 20:09:04.088+00,2015-09-26 20:09:04.088+00
20071342,FAIT,2015-09-26 20:09:04.393+00,2015-09-26 20:09:04.393+00
20071343,CITIZENSHIP,2015-09-26 20:09:04.628+00,2015-09-26 20:09:04.628+00
20071344,CITIZENSHIP,2015-09-26 20:09:04.869+00,2015-09-26 20:09:04.869+00
20071345,FIN,2015-09-26 20:09:05.109+00,2015-09-26 20:09:05.109+00
20071346,CITIZENSHIP,2015-09-26 20:09:05.34+00,2015-09-26 20:09:05.34+00
20071347,FIN,2015-09-26 20:09:05.566+00,2015-09-26 20:09:05.566+00
20071348,FIN,2015-09-26 20:09:05.806+00,2015-09-26 20:09:05.806+00
20071349,FIN,2015-09-26 20:09:06.075+00,2015-09-26 20:09:06.075+00
20071350,FIN,2015-09-26 20:09:06.31+00,2015-09-26 20:09:06.31+00
20071351,F&O,2015-09-26 20:09:06.55+00,2015-09-26 20:09:06.55+00
20071351,TC,2015-09-26 20:09:06.55+00,2015-09-26 20:09:06.55+00
20071352,DFAIT,2015-09-26 20:09:06.8+00,2015-09-26 20:09:06.8+00
20071353,HEALTH,2015-09-26 20:09:07.036+00,2015-09-26 20:09:07.036+00
20071354,HEALTH,2015-09-26 20:09:07.28+00,2015-09-26 20:09:07.28+00
20071355,AGRI-FOOD,2015-09-26 20:09:07.512+00,2015-09-26 20:09:07.512+00
20071356,HEALTH,2015-09-26 20:09:07.747+00,2015-09-26 20:09:07.747+00
20071357,JUS,2015-09-26 20:09:07.982+00,2015-09-26 20:09:07.982+00
20071358,JUS,2015-09-26 20:09:08.241+00,2015-09-26 20:09:08.241+00
20071359,JUS,2015-09-26 20:09:08.497+00,2015-09-26 20:09:08.497+00
20071360,JUS,2015-09-26 20:09:08.744+00,2015-09-26 20:09:08.744+00
20071361,JUS,2015-09-26 20:09:08.992+00,2015-09-26 20:09:08.992+00
20071362,JUS,2015-09-26 20:09:09.257+00,2015-09-26 20:09:09.257+00
20071363,JUS,2015-09-26 20:09:09.517+00,2015-09-26 20:09:09.517+00
20071364,JUS,2015-09-26 20:09:09.795+00,2015-09-26 20:09:09.795+00
